iter	RMSE
672	20072299.2
673	20069931.71
674	20020518.46
675	20015909.74
676	19980160.7
677	19945277.68
678	19911240.28
679	19909260.61
680	19860698.78
681	19857164.52
682	19842613.59
683	19825910.4
684	19815857.38
685	19812621.15
686	19807885.73
687	19760303.46
688	19750351.41
689	19703306.47
690	19686030.69
691	19652708.82
692	19630152.62
693	19626909.33
694	19622114.67
695	19618740.28
696	19612649.42
697	19580161.46
698	19577064.18
699	19545362.01
700	19533414.3
701	19511048.7
702	19465839
703	19462598.52
704	19431529.84
705	19430699.22
706	19408815
707	19378468.89
708	19348882.63
709	19327491.37
710	19310302.79
711	19289436.44
712	19259702.81
713	19234508.32
714	19205454.15
715	19184978.59
716	19156603.25
717	19136616.64
718	19132302.84
719	19104585
720	19100830.28
721	19053320.62
722	19026206.27
723	19009725.04
724	19008031.76
725	18981555.5
726	18939001.71
727	18938655.14
728	18912767.34
729	18911514.92
730	18886515.8
731	18861226.33
732	18851860.94
733	18827176.34
734	18823596.22
735	18822394.07
736	18815761.32
737	18791689.09
738	18789252.81
739	18770624.6
740	18766600.24
741	18764161.82
742	18740644.45
743	18733276.56
744	18689420.14
745	18666455.23
746	18643243.25
747	18623429.6
748	18598774.76
749	18595727.87
750	18553437.24
751	18550096.77
752	18506925.2
753	18503888.99
754	18481861.17
755	18460373.83
756	18418077.75
757	18414593.24
758	18388044.48
759	18386784.32
760	18384705.39
761	18363657.24
762	18348764.18
763	18342253.72
764	18321697.18
765	18297636.56
766	18294480.61
767	18274398.78
768	18250885.75
769	18209879.27
770	18207396.04
771	18187738.68
772	18184448.15
773	18161414.23
774	18142210.19
775	18116456.58
776	18115902.09
777	18113885.46
778	18109242.62
779	18104694.77
780	18082145.82
781	18063351.36
782	18041317.1
783	18037960.49
784	18034371.32
785	18012858.78
786	17994472.99
787	17993444.35
788	17984805.36
789	17983748.92
790	17981239.39
791	17940615.39
792	17939464.49
793	17939090.21
794	17921101.29
795	17920196.94
796	17919922.07
797	17909872.75
798	17906936.79
799	17904387.55
800	17900330.25
801	17858278.75
802	17856412.99
803	17852178.77
804	17834576.59
805	17833744.69
806	17829983.12
807	17812812.54
808	17772872.86
809	17770579.81
810	17768847.75
811	17767218.31
812	17766450.54
813	17765745.05
814	17744612.38
815	17705519.86
816	17704869.27
817	17702273.9
818	17681482.26
819	17680883.76
820	17680333.72
821	17663484.51
822	17661405.59
823	17658480.66
824	17656844.3
825	17654902.62
826	17653357.35
827	17650102.64
828	17648275.63
829	17642624.81
830	17638924.77
831	17635148.75
832	17634669.32
833	17633307.75
834	17629878.72
835	17628216.26
836	17626640.86
837	17621882.06
838	17582605.6
839	17565417.32
840	17564230.75
841	17563109.16
842	17559819.72
843	17556801.7
844	17552056.19
845	17543182.79
846	17540542.31
847	17532377.33
848	17531979.89
849	17524258.6
850	17516655.31
851	17507858.58
852	17487739.62
853	17445913.21
854	17445391.95
855	17425738.14
856	17409488.49
857	17390258.18
858	17371298.13
859	17357174.87
860	17352563.83
861	17351324.49
862	17313904.97
863	17272786.45
864	17269756.35
865	17248993.05
866	17245838.2
867	17209113.64
868	17202782.74
869	17184637.41
870	17167653.56
871	17149956.34
872	17133392.35
873	17112993.83
874	17110977.28
875	17110487.48
876	17110014.26
877	17107140.91
878	17066616.84
879	17056359.63
880	17039283.14
881	16999657.85
882	16995807.3
883	16993953.24
884	16987019.76
885	16970773.64
886	16969969.46
887	16969011.12
888	16962559.3
889	16946852.59
890	16943973.26
891	16941266.07
892	16940263.41
893	16938626.91
894	16921910.87
895	16921464.63
896	16919538.63
897	16916561.12
898	16916129.34
899	16899550.61
900	16898604.95
901	16891653.3
902	16876322.23
903	16860424.4
904	16856752.11
905	16841250.77
906	16840557.07
907	16833171.79
908	16832808.38
909	16825642.42
910	16786686.62
911	16786052.18
912	16782274.85
913	16778754.74
914	16776680.34
915	16775772.22
916	16760828.84
917	16760410.62
918	16723512.03
919	16722658.85
920	16720366.85
921	16705774.45
922	16701782.57
923	16681394.96
924	16677516.4
925	16677109.63
926	16640054.29
927	16637473.49
928	16623711.76
929	16623303.05
930	16617731.61
931	16616509.03
932	16605789.86
933	16600508.22
934	16599672.21
935	16584388.76
936	16581773.1
937	16580976.25
938	16578155.56
939	16574968.03
940	16574253.72
941	16569340.92
942	16563821.23
943	16563462.3
944	16557257.63
945	16542318.69
946	16537237.89
947	16535787.21
948	16534518.31
949	16519918.44
950	16515949.95
951	16501719.99
952	16501371.32
953	16500669.43
954	16485102.62
955	16481825.01
956	16481264.17
957	16477716.5
958	16474988.94
959	16474455.19
960	16469670.69
961	16468788.1
962	16466922.14
963	16462010.3
964	16449848.28
965	16447351.26
966	16445574.18
967	16435003.09
968	16419940.64
969	16419460.33
970	16417117.59
971	16393568.28
972	16388921.1
973	16366354.63
974	16364508.02
975	16357416.27
976	16352276.58
977	16349084.3
978	16348751.59
979	16347920.12
980	16343709.61
981	16340155.64
982	16334458.07
983	16333672.53
984	16331431.59
985	16329040.18
986	16327891.44
987	16316296.62
988	16315377.96
989	16314504.52
990	16305659.05
991	16304049.88
992	16303226.72
993	16302443.41
994	16299559.08
995	16298812.3
996	16287056.13
997	16285043.82
998	16283559.69
999	16281403.06
